Package,LibPath,Version,Priority,Built
abind,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4-5,NA,3.5.2
acepack,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.1,NA,3.5.2
animation,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.5,NA,3.5.1
anytime,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.1
arrayhelpers,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0-20160527,NA,3.5.1
assertthat,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.2
available,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.2,NA,3.5.2
backports,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.3,NA,3.5.2
base64enc,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1-3,NA,3.5.2
bayesplot,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.6.0,NA,3.5.2
bench,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1,NA,3.5.2
BH,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.66.0-1,NA,3.5.2
bindr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.1,NA,3.5.2
bindrcpp,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.2,NA,3.5.2
binman,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.1,NA,3.5.1
bit,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1-14,NA,3.5.0
bit64,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9-7,NA,3.5.0
blob,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.1,NA,3.5.1
blogdown,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9,NA,3.5.2
bookdown,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9,NA,3.5.2
brew,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0-6,NA,3.5.2
bridgesampling,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5-2,NA,3.5.1
brms,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.7.0,NA,3.5.2
Brobdingnag,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2-6,NA,3.5.1
